date,weighted_goldstein,event_count,avg_tone,source_count,total_mentions,total_articles
2022-09-17,0.8605072463768116,895,-1.220287319094258,912,4416,4344
2022-09-18,0.7310994184436439,764,-1.7017116995447532,782,3611,3562
2022-09-19,0.644586108468126,1035,-1.663486910822134,1096,5255,5163
2022-09-20,1.6280900109769485,1871,-1.620001640985157,1957,9110,8967
2022-09-21,0.9296904140246185,1629,-2.2354991358239547,1675,8043,7762
2022-09-22,1.4115676524470013,1630,-2.1026028299764037,1673,7642,7547
2022-09-23,0.4746893274853798,1041,-2.006359954620281,1067,5472,5400
2022-09-24,0.7404989919354837,699,-2.181675838687204,716,3968,3893
2022-09-25,0.6977224799662589,414,-2.065936534896953,415,2371,2322
2022-09-26,1.3156968641114974,1074,-1.9823218903108544,1152,5740,5593
2022-09-27,0.1465771812080535,1154,-2.6115800764949015,1180,5960,5807
2022-09-28,0.7678932406822494,1192,-2.1695179672373666,1230,6332,6202
2022-09-29,0.5455253490080827,1199,-1.4785560345198734,1261,6805,6711
2022-09-30,1.0627808676307018,949,-1.6480970447461727,969,4495,4410
2022-10-01,0.12178653805829294,900,-1.862331127403225,929,4769,4697
2022-10-02,0.062203340169938455,665,-1.7903153804408225,700,3413,3352
2022-10-03,1.9001125650766841,1355,-1.5438279073464263,1436,7107,6910
2022-10-04,1.8372994195971293,1143,-1.2618964642495327,1164,5858,5732
2022-10-05,1.3885212569316083,1033,-1.6009766421413776,1053,5410,5266
2022-10-06,1.2376145637162594,1548,-1.3713154198037858,1612,7965,7766
2022-10-07,1.3732392508572935,1440,-1.2649394480109493,1488,7582,7416
2022-10-08,0.9428298800436202,653,-1.8668961679262492,682,3668,3609
2022-10-09,1.140695652173914,615,-1.558837304447677,651,3450,3419
2022-10-10,1.2489536475650318,964,-1.7172623144471832,984,5113,5020
2022-10-11,2.0546734080349816,1493,-1.3041773386184121,1528,7318,7240
2022-10-12,1.3964748201438857,1352,-0.9869880487195153,1422,6950,6775
2022-10-13,1.7781666150510989,1916,-1.116586802034866,1989,9687,9502
2022-10-14,1.43738379814077,1494,-1.2216509290793138,1556,7530,7428
2022-10-15,1.6618790739492024,859,-2.4470385504866474,900,4449,4371
2022-10-16,0.436039924467224,644,-3.481382136721786,705,3707,3632
2022-10-17,0.7404215215901306,1056,-2.8347553009902096,1078,5836,5690
2022-10-18,0.5010038480843232,1088,-2.2122386604452973,1105,5977,5846
2022-10-19,1.2190452428476386,1139,-1.726408618817798,1169,6012,5918
2022-10-20,1.2042071713147413,1194,-1.3086784372499842,1230,6275,6157
2022-10-21,1.2444147871346594,1478,-1.3967650654591646,1528,7493,7326
2022-10-22,1.4552838231994616,767,-2.081991056175582,780,4457,4353
2022-10-23,1.5057802093244534,799,-2.5809311864515245,831,4204,4161
2022-10-24,1.163840653728295,1106,-2.507811162207841,1186,5874,5715
2022-10-25,1.183792572308746,1082,-1.4949614990539672,1113,5843,5740
2022-10-26,1.203848448687351,1232,-1.2711755606309123,1252,6704,6616
2022-10-27,1.3540981061782067,1211,-0.8626477615188982,1242,6442,6348
2022-10-28,1.7298085688240672,1076,-0.7800210234141146,1109,5485,5324
2022-10-29,2.2619881656804743,823,-0.9365563421740143,829,4225,4078
2022-10-30,2.1017861129716455,814,-2.0152625997657334,850,4479,4425
2022-10-31,1.9327588528342508,1472,-1.576002821578242,1518,7427,7268
2022-11-01,2.310552663195834,1915,-1.3223656449101298,1993,9988,9872
2022-11-02,2.049603048586852,1730,-1.0326460729663967,1834,9447,9383
2022-11-03,1.9410207029369264,1583,-0.8815379015271039,1644,8308,8184
2022-11-04,2.0454992076069716,1187,-0.8464005723675112,1298,6310,6244
2022-11-05,0.9421292281006082,881,-0.9123800952582668,921,4612,4566
2022-11-06,0.3045286243235545,670,-1.846492382658369,683,3513,3464
2022-11-07,0.7624184428012184,807,-1.1705660014768968,825,4598,4481
2022-11-08,0.6066219808159026,1672,-1.8314818558113677,1720,8653,8455
2022-11-09,0.809895744317211,1108,-1.784430279053019,1142,5851,5613
2022-11-10,0.9444143167028205,1129,-1.008405690191876,1155,5532,5381
2022-11-11,1.4386243386243383,265,-1.0627146818585913,273,1323,1299
2022-11-12,0.9858674250711001,821,-0.7114702450793531,859,4571,4455
2022-11-13,-1.3708812864575122,1069,-4.674146396535009,1109,6343,6197
2022-11-14,-1.170386554621849,2729,-5.068210099961207,2913,14875,14693
2022-11-15,-0.2063580822201513,1840,-3.1016442570880263,1991,9657,9493
2022-11-16,0.16396787783043712,1491,-2.174594298986795,1579,7596,7515
2022-11-17,1.2877657760090966,1777,-1.5652918141936656,1833,8795,8611
2022-11-18,0.8836536180308432,1686,-1.556629435958642,1758,8430,8206
2022-11-19,-0.5961050724637679,794,-2.684394707375118,819,4416,4293
2022-11-20,-4.062626712710258,1598,-4.518123829290329,1666,8977,8800
2022-11-21,-2.673050235914518,1976,-3.4504730469155676,2071,10809,10517
2022-11-22,-1.9542744811191373,2101,-3.3238372206545472,2193,10937,10751
2022-11-23,-1.093195718654434,2135,-2.790081321392037,2215,10464,10256
2022-11-24,-1.2078236279849182,1906,-2.596543249103818,1979,9548,9373
2022-11-25,-0.694377626430952,1293,-1.9437299738767155,1342,6901,6793
